date,1. open,2. high,3. low,4. close,5. adjusted close,6. volume,7. dividend amount,8. split coefficient
2024-10-22,31.49,31.6699,31.415,31.58,31.58,4391298.0,0.0,1.0
2024-10-21,31.73,31.855,31.45,31.47,31.47,6852124.0,0.0,1.0
2024-10-18,31.39,31.41,31.0901,31.33,31.33,4465138.0,0.0,1.0
2024-10-17,31.04,31.35,30.97,31.32,31.32,8123206.0,0.0,1.0
2024-10-16,31.07,31.13,30.83,30.93,30.93,6393806.0,0.0,1.0
2024-10-15,30.85,31.085,30.7,30.74,30.74,13177959.0,0.0,1.0
2024-10-14,31.9,32.11,31.825,31.99,31.99,5522732.0,0.0,1.0
2024-10-11,32.07,32.33,32.04,32.11,32.11,7455529.0,0.0,1.0
2024-10-10,32.15,32.4,31.95,32.34,32.34,5886192.0,0.0,1.0
2024-10-09,31.67,32.08,31.59,31.98,31.98,6035177.0,0.0,1.0
2024-10-08,32.45,32.47,31.86,32.03,32.03,9039105.0,0.0,1.0
2024-10-07,33.09,33.29,33.005,33.14,33.14,5836765.0,0.0,1.0
2024-10-04,32.65,33.05,32.49,32.88,32.88,10108939.0,0.0,1.0
2024-10-03,32.04,32.5399,31.891,32.46,32.46,10752939.0,0.0,1.0
2024-10-02,32.59,32.635,32.145,32.37,32.37,7982336.0,0.0,1.0
2024-10-01,31.35,32.265,31.2949,32.09,32.09,13696071.0,0.0,1.0
2024-09-30,31.41,31.73,31.3,31.39,31.39,7314452.0,0.0,1.0
2024-09-27,31.0,31.465,30.9022,31.42,31.42,11500178.0,0.0,1.0
2024-09-26,30.53,31.0,30.5199,30.79,30.79,16447843.0,0.0,1.0
2024-09-25,32.39,32.42,31.66,31.68,31.68,8939102.0,0.0,1.0
2024-09-24,33.13,33.17,32.74,32.83,32.83,7696464.0,0.0,1.0
2024-09-23,32.72,33.09,32.66,32.86,32.86,7619320.0,0.0,1.0
2024-09-20,32.59,32.755,32.3414,32.64,32.64,8271732.0,0.0,1.0
2024-09-19,33.11,33.2,32.705,32.76,32.76,11509407.0,0.0,1.0
2024-09-18,32.61,32.81,32.38,32.43,32.43,6125668.0,0.0,1.0
2024-09-17,32.24,32.585,32.19,32.55,32.55,6965637.0,0.0,1.0
2024-09-16,32.26,32.43,32.05,32.3,32.3,9370643.0,0.0,1.0
2024-09-13,31.86,32.02,31.705,31.84,31.84,6427335.0,0.0,1.0
2024-09-12,31.32,31.68,31.22,31.58,31.58,8158445.0,0.0,1.0
2024-09-11,31.425,31.45,30.97,31.29,31.29,8232643.0,0.0,1.0
2024-09-10,31.71,31.72,30.67,31.15,31.15,12806550.0,0.0,1.0
2024-09-09,31.89,32.05,31.78,31.8,31.8,8008003.0,0.0,1.0
2024-09-06,32.28,32.39,31.77,31.9,31.9,10259005.0,0.0,1.0
2024-09-05,32.75,32.755,32.31,32.35,32.35,7130112.0,0.0,1.0
2024-09-04,32.71,32.93,32.335,32.41,32.41,7371455.0,0.0,1.0
2024-09-03,33.0,33.07,32.71,32.87,32.87,9499520.0,0.0,1.0
2024-08-30,33.83,33.9999,33.7,33.96,33.96,5680344.0,0.0,1.0
2024-08-29,34.31,34.5,34.14,34.47,34.47,4664887.0,0.0,1.0
2024-08-28,33.99,34.25,33.92,34.23,34.23,4091241.0,0.0,1.0
2024-08-27,34.51,34.5205,34.17,34.38,34.38,4024720.0,0.0,1.0
2024-08-26,34.4,34.585,34.2421,34.39,34.39,3711211.0,0.0,1.0
2024-08-23,33.78,34.12,33.665,34.11,34.11,5224648.0,0.0,1.0
