date,1. open,2. high,3. low,4. close,5. adjusted close,6. volume,7. dividend amount,8. split coefficient
2024-10-22,84.64,85.05,83.83,84.89,84.89,1230359.0,0.0,1.0
2024-10-21,85.04,85.46,84.39,84.87,84.87,1199372.0,0.0,1.0
2024-10-18,85.45,85.58,84.8007,85.09,85.09,1746147.0,0.0,1.0
2024-10-17,85.92,85.92,84.9102,85.24,85.24,1415970.0,0.0,1.0
2024-10-16,84.94,85.76,84.61,85.29,85.29,949922.0,0.0,1.0
2024-10-15,86.93,87.17,84.395,84.71,84.71,2372632.0,0.0,1.0
2024-10-14,86.07,86.9,86.07,86.85,86.85,884443.0,0.0,1.0
2024-10-11,86.31,86.71,85.78,86.53,86.53,989757.0,0.0,1.0
2024-10-10,85.49,86.37,85.145,86.31,86.31,1052118.0,0.0,1.0
2024-10-09,84.75,86.21,84.57,85.64,85.64,1378559.0,0.0,1.0
2024-10-08,85.68,85.68,84.25,84.48,84.48,2549599.0,0.0,1.0
2024-10-07,85.87,86.859,85.44,85.94,85.94,2715547.0,0.0,1.0
2024-10-04,87.89,88.21,87.0,87.54,87.54,845503.0,0.0,1.0
2024-10-03,87.54,87.6,86.615,87.14,87.14,1333469.0,0.0,1.0
2024-10-02,87.76,88.62,87.27,88.05,88.05,1347615.0,0.0,1.0
2024-10-01,89.2,89.56,87.54,87.92,87.92,2083764.0,0.0,1.0
2024-09-30,89.64,89.89,88.081,89.11,89.11,2202022.0,0.0,1.0
2024-09-27,89.4,90.06,88.9812,89.54,89.54,2581517.0,0.0,1.0
2024-09-26,87.11,89.41,86.94,89.19,89.19,3000974.0,0.0,1.0
2024-09-25,87.11,87.27,85.51,85.94,85.94,1396780.0,0.0,1.0
2024-09-24,84.83,87.275,84.6606,87.11,87.11,3279324.0,0.0,1.0
2024-09-23,83.6,84.2095,83.52,84.11,84.11,1398013.0,0.0,1.0
2024-09-20,82.575,83.64,81.75,83.34,83.34,3557653.0,0.0,1.0
2024-09-19,84.0,84.19,83.0,83.18,83.18,1497874.0,0.0,1.0
2024-09-18,83.07,83.67,82.48,82.84,82.84,1753595.0,0.0,1.0
2024-09-17,82.44,83.21,82.31,82.86,82.86,1675416.0,0.0,1.0
2024-09-16,81.84,82.59,81.4,82.0,82.0,1453550.0,0.0,1.0
2024-09-13,80.87,81.905,80.87,81.42,81.42,1545042.0,0.0,1.0
2024-09-12,79.9,80.84,79.43,80.41,80.41,1548965.0,0.0,1.0
2024-09-11,79.41,80.02,77.815,79.91,79.91,1602987.0,0.0,1.0
2024-09-10,79.4,79.92,78.9201,79.51,79.51,2160266.0,0.0,1.0
2024-09-09,79.6,80.79,79.46,79.56,79.56,2999673.0,0.0,1.0
2024-09-06,81.06,81.69,78.59,79.14,79.14,3029216.0,0.0,1.0
2024-09-05,81.92,81.95,80.97,81.38,81.38,1678397.0,0.0,1.0
2024-09-04,82.3,82.86,81.65,81.7,81.7,1888828.0,0.0,1.0
2024-09-03,83.495,83.94,81.75,82.12,82.12,2627112.0,0.0,1.0
2024-08-30,83.42,84.52,83.32,84.25,84.25,3555079.0,0.38,1.0
2024-08-29,82.89,83.92,82.36,83.42,83.0454330615621,1661896.0,0.0,1.0
2024-08-28,82.12,82.765,81.9301,82.53,82.159429280397,2151580.0,0.0,1.0
2024-08-27,81.8,82.72,81.24,82.49,82.1196088857379,2170325.0,0.0,1.0
2024-08-26,81.56,82.0999,81.15,81.64,81.273425499232,1559422.0,0.0,1.0
2024-08-23,80.65,81.46,80.25,81.1,80.7358501713341,1325008.0,0.0,1.0
2024-08-22,80.32,80.48,79.74,80.29,79.9294871794872,1593165.0,0.0,1.0
2024-08-21,79.64,80.51,79.55,80.31,79.9493973768167,1139461.0,0.0,1.0
2024-08-20,79.88,80.275,79.185,79.26,78.9041120170153,1901552.0,0.0,1.0
2024-08-19,80.26,80.5,79.85,80.14,79.7801606995155,1156494.0,0.0,1.0
2024-08-16,80.18,80.41,79.38,80.18,79.8199810941747,1278720.0,0.0,1.0
2024-08-15,79.67,80.59,79.5474,80.28,79.9195320808224,1636525.0,0.0,1.0
2024-08-14,78.97,79.15,78.34,78.75,78.3964019851117,1126782.0,0.0,1.0
2024-08-13,78.4,78.89,78.05,78.83,78.4760427744299,1136564.0,0.0,1.0
2024-08-12,78.635,78.8499,78.02,78.33,77.9782878411911,1069605.0,0.0,1.0
2024-08-09,78.25,78.72,77.695,78.53,78.1773898144866,983709.0,0.0,1.0
2024-08-08,77.82,78.66,77.46,78.52,78.1674347158218,1760954.0,0.0,1.0
