date,1. open,2. high,3. low,4. close,5. adjusted close,6. volume,7. dividend amount,8. split coefficient
2024-10-22,105.63,105.99,104.64,105.7,105.7,1207216.0,0.0,1.0
2024-10-21,106.79,107.1035,105.94,106.26,106.26,1405779.0,0.0,1.0
2024-10-18,105.96,106.77,105.26,106.76,106.76,6365337.0,0.0,1.0
2024-10-17,106.44,106.45,105.005,105.66,105.66,1727853.0,0.0,1.0
2024-10-16,105.75,106.18,105.21,106.14,106.14,1869233.0,0.0,1.0
2024-10-15,104.82,106.41,104.575,105.45,105.45,2748901.0,0.0,1.0
2024-10-14,101.75,103.14,101.32,103.04,103.04,1976020.0,0.0,1.0
2024-10-11,101.91,102.35,101.665,102.32,102.32,1317182.0,0.0,1.0
2024-10-10,102.725,103.16,101.502,101.58,101.58,1179589.0,0.0,1.0
2024-10-09,101.96,102.93,101.671,102.37,102.37,1114658.0,0.0,1.0
2024-10-08,101.67,102.94,101.26,102.11,102.11,1328778.0,0.0,1.0
2024-10-07,102.7,102.7,100.94,101.14,101.14,1967334.0,0.0,1.0
2024-10-04,102.79,103.34,102.27,103.15,103.15,952852.0,0.0,1.0
2024-10-03,104.81,104.81,103.58,104.02,104.02,952060.0,0.0,1.0
2024-10-02,104.32,104.865,103.9502,104.45,104.45,996739.0,0.0,1.0
2024-10-01,104.25,105.59,103.56,105.15,105.15,1834563.0,0.0,1.0
2024-09-30,104.43,104.43,103.145,104.13,104.13,1449539.0,0.0,1.0
2024-09-27,103.47,104.59,103.41,104.05,104.05,1366877.0,0.0,1.0
2024-09-26,102.41,103.98,102.26,103.12,103.12,1391590.0,0.0,1.0
2024-09-25,103.25,103.44,102.27,103.16,103.16,1151089.0,0.0,1.0
2024-09-24,103.21,104.26,102.7,102.82,102.82,1063139.0,0.0,1.0
2024-09-23,103.68,104.44,103.29,104.02,104.02,1053579.0,0.0,1.0
2024-09-20,102.23,103.565,101.9801,103.35,103.35,3492651.0,0.0,1.0
2024-09-19,101.49,102.425,100.95,102.12,102.12,1761679.0,0.0,1.0
2024-09-18,104.38,104.88,102.55,103.41,103.41,1347037.0,0.0,1.0
2024-09-17,104.52,105.29,104.0,104.54,104.54,1391024.0,0.0,1.0
2024-09-16,105.04,105.82,104.76,104.85,104.85,1467923.0,0.0,1.0
2024-09-13,103.59,104.74,103.21,104.56,104.56,1274726.0,0.0,1.0
2024-09-12,103.71,104.575,103.25,103.39,103.39,1528602.0,0.0,1.0
2024-09-11,104.53,104.745,103.03,103.82,103.82,2685901.0,0.0,1.0
2024-09-10,104.88,105.62,104.38,104.97,104.97,1271138.0,0.0,1.0
2024-09-09,103.39,104.82,103.35,104.75,104.75,1672940.0,0.0,1.0
