date,1. open,2. high,3. low,4. close,5. adjusted close,6. volume,7. dividend amount,8. split coefficient
2024-05-03,269.62,269.62,269.62,269.62,269.62,0.0,0.0,1.0
2024-05-02,269.47,272.23,269.141,269.62,269.62,4935257.0,0.0,1.0
2024-05-01,268.75,271.72,263.69,267.66,267.66,6334677.0,0.0,1.0
2024-04-30,273.28,274.31,268.96,269.32,269.32,2086573.0,0.0,1.0
2024-04-29,267.66,274.09,267.66,273.6,273.6,2045207.0,0.0,1.0
2024-04-26,273.0,273.0,265.02,268.87,268.87,2059204.0,0.0,1.0
2024-04-25,276.5,277.349,272.115,275.15,275.15,1788446.0,0.0,1.0
2024-04-24,274.3,276.07,271.755,275.52,275.52,1560582.0,0.0,1.0
2024-04-23,272.93,275.565,270.77,275.23,275.23,1874579.0,0.0,1.0
2024-04-22,269.04,274.8,266.79,273.51,273.51,2043564.0,0.0,1.0
2024-04-19,269.4,273.3,268.655,270.31,270.31,2900079.0,0.0,1.0
2024-04-18,269.23,270.15,267.26,267.97,267.97,1413247.0,0.0,1.0
2024-04-17,266.84,269.31,264.63,267.79,267.79,1151280.0,0.0,1.0
2024-04-16,269.0,270.35,265.43,267.26,267.26,1818915.0,0.0,1.0
2024-04-15,273.27,273.76,268.86,269.0,269.0,1404381.0,0.0,1.0
2024-04-12,277.0,278.83,269.5501,270.8,270.8,1962883.0,0.0,1.0
2024-04-11,275.5,275.68,271.1658,274.74,274.74,1494738.0,0.0,1.0
2024-04-10,271.96,275.83,271.64,275.32,275.32,1241880.0,0.0,1.0
2024-04-09,271.69,273.39,270.275,272.28,272.28,1239635.0,0.0,1.0
2024-04-08,273.3,273.48,270.29,270.51,270.51,1970815.0,0.0,1.0
2024-04-05,271.0,274.67,269.73,272.78,272.78,1869702.0,0.0,1.0
2024-04-04,269.81,270.35,268.0715,269.84,269.84,1287434.0,0.0,1.0
2024-04-03,269.98,270.39,268.03,269.73,269.73,1514062.0,0.0,1.0
2024-04-02,265.29,269.885,264.6401,269.45,269.45,1350557.0,0.0,1.0
2024-04-01,262.31,264.72,260.77,263.96,263.96,1290440.0,0.0,1.0
2024-03-28,261.45,263.08,260.24,262.5,262.5,2215808.0,0.0,1.0
2024-03-27,255.44,260.11,255.44,260.0,260.0,869385.0,0.0,1.0
2024-03-26,258.46,259.17,255.96,256.85,256.85,1123076.0,0.0,1.0
2024-03-25,255.53,260.42,255.53,258.21,258.21,1124820.0,0.0,1.0
2024-03-22,255.56,255.9499,254.03,255.53,255.53,742410.0,0.0,1.0
