date,1. open,2. high,3. low,4. close,5. adjusted close,6. volume,7. dividend amount,8. split coefficient
2024-10-22,92.35,93.19,92.114,93.08,93.08,3021108.0,0.0,1.0
2024-10-21,93.42,93.73,92.61,92.73,92.73,3188192.0,0.0,1.0
2024-10-18,92.7,93.345,92.02,93.24,93.24,3663359.0,0.0,1.0
2024-10-17,92.31,92.85,92.015,92.7,92.7,3908792.0,0.0,1.0
2024-10-16,90.98,92.455,90.6,92.29,92.29,3425709.0,0.0,1.0
2024-10-15,90.5,91.4,90.3555,90.71,90.71,3716636.0,0.0,1.0
2024-10-14,88.75,89.95,88.75,89.84,89.84,2764765.0,0.0,1.0
2024-10-11,88.61,89.075,88.32,88.96,88.96,3081166.0,0.0,1.0
2024-10-10,88.97,89.8,88.21,88.26,88.26,3288048.0,0.0,1.0
2024-10-09,89.44,90.0,88.81,88.93,88.93,4127973.0,0.0,1.0
2024-10-08,89.2,89.72,88.8,89.29,89.29,2865551.0,0.0,1.0
2024-10-07,90.06,90.23,88.67,88.89,88.89,4871535.0,0.0,1.0
2024-10-04,89.9,90.479,89.35,90.31,90.31,3432324.0,0.0,1.0
2024-10-03,91.82,91.865,90.19,90.7,90.7,6120737.0,0.0,1.0
2024-10-02,90.25,91.82,90.12,91.59,91.59,4869199.0,0.0,1.0
2024-10-01,90.46,91.77,90.0,90.88,90.88,4030104.0,0.0,1.0
2024-09-30,90.05,90.63,89.55,90.18,90.18,6838691.0,0.0,1.0
2024-09-27,89.19,90.13,88.91,90.1,90.1,4531725.0,0.0,1.0
2024-09-26,88.89,89.62,88.645,88.95,88.95,3742420.0,0.0,1.0
2024-09-25,90.15,90.55,88.915,89.35,89.35,3457300.0,0.0,1.0
2024-09-24,89.99,90.85,89.485,89.73,89.73,6222469.0,0.0,1.0
2024-09-23,89.85,90.59,89.53,90.52,90.52,3825258.0,0.0,1.0
2024-09-20,90.12,90.14,88.47,89.7,89.7,9736583.0,0.0,1.0
